instruction,answer
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Rakoes Mulyorejo** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng Ayam Geprek | Harga: 22500.0
- Nasi Goreng Osaka | Harga: 22500.0
- Nasi Goreng Sambal Matah | Harga: 18750.0
- Mie Goreng Spesial | Harga: 18750.0
- Nasi Goreng Kampoeng | Harga: 18750.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi.,"Halo! 🌟
Kalau kamu mau makan Kopi, ada rekomendasi bagus nih! Coba deh ke **Ram Kopi, Merak** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Espresso Single | Harga: 15000.0
- Espresso Double | Harga: 25000.0
- Espresso Madu | Harga: 19000.0
- Nira Espresso | Harga: 32000.0
- Hot Sanger Espresso | Harga: 19000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Jepang/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Jepang/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Ramen Giant, Bogor** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Beef Udon | Harga: 32600.0
- Bratwurst Udon | Harga: 32600.0
- Calamary Udon | Harga: 32600.0
- Drumband Udon | Harga: 30400.0
- Ebi Furai Udon | Harga: 31400.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jepang/Cepat saji/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Jepang/Cepat saji/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Ramen Giant, Bogor** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Beef Udon | Harga: 32600.0
- Bratwurst Udon | Harga: 32600.0
- Calamary Udon | Harga: 32600.0
- Drumband Udon | Harga: 30400.0
- Ebi Furai Udon | Harga: 31400.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Restaurant Miramar, Pemuda** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Bungkus Sayur + Ayam Panggang | Harga: 30000.0
- Nasi Bungkus Sayur + Ayam Rendang | Harga: 30000.0
- Nasi Bungkus Sayur + Ayam Sambal Hijau | Harga: 30000.0
- Nasi Bungkus Sayur + Ayam Goreng | Harga: 30000.0
- Nasi Bungkus Sayur + Ayam Gulai | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Cepat saji/Sate.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Cepat saji/Sate, ada rekomendasi bagus nih! Coba deh ke **Resto Ayam Najeb** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Ayam Geprek Tanpa Nasi | Harga: 19000.0
- Ayam Geprek Mozarella Tanpa Nasi | Harga: 19000.0
- Ayam Geprek Sambal Moza | Harga: 22000.0
- Ayam Geprek Sambel Matah | Harga: 19000.0
- Ayam Geprek Sambal Rica- Rica | Harga: 19000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Restoran Berjaya, Marelan** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Lontong Gulai Paku | Harga: 17500.0
- Kolak Pisang | Harga: 12500.0
- Bubur Kacang Ijo | Harga: 12500.0
- Pulut Hitam | Harga: 12500.0
- Ketan + Pisang Goreng | Harga: 12500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Restoran Berjaya, Setiabudi** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Bubur Kacang Ijo | Harga: 12500.0
- Pulut Hitam | Harga: 12500.0
- Ketan + Pisang Goreng | Harga: 12500.0
- Bubur Sumsum | Harga: 12500.0
- Bubur Ketan Hitam | Harga: 12500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Restoran Sederhana, Ampera** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Sate Padang Daging | Harga: 26000.0
- Mie Goreng | Harga: 23000.0
- Mie Rebus | Harga: 23000.0
- Gado Gado | Harga: 20000.0
- Nasi Goreng | Harga: 23000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Restoran Sederhana, Caman** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Ayam Gulai | Harga: 22400.0
- Ayam Goreng | Harga: 22400.0
- Ayam Bakar | Harga: 22400.0
- Ayam Goreng Panas | Harga: 23500.0
- Ayam Kemangi | Harga: 23500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Minuman/Seafood.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Minuman/Seafood, ada rekomendasi bagus nih! Coba deh ke **Restoran, Telaga Sindur** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Menu TS Satu | Harga: 40000.0
- Gurame Bakar | Harga: 100000.0
- Gurame Goreng Terbang | Harga: 100000.0
- Gurame Asam Manis | Harga: 110000.0
- Gurame Pecak | Harga: 105000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Cepat saji/Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Cepat saji/Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **Richeese Factory, Binjai** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Flash Sale 3 Fire Chicken | Harga: 81000.0
- Combo Mabar FC R | Harga: 164000.0
- Special Price Combo 1 Fire Chicken 3K | Harga: 48000.0
- Special Price Combo 1 Fire Chicken 6K | Harga: 48000.0
- Special Price Combo 1 Fire Chicken 10K | Harga: 48000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Ayam & bebek/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Ayam & bebek/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Richeese Factory, Binjai** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Flash Sale 3 Fire Chicken | Harga: 81000.0
- Combo Mabar FC R | Harga: 164000.0
- Special Price Combo 1 Fire Chicken 3K | Harga: 48000.0
- Special Price Combo 1 Fire Chicken 6K | Harga: 48000.0
- Special Price Combo 1 Fire Chicken 10K | Harga: 48000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat.,"Halo! 🌟
Kalau kamu mau makan Barat, ada rekomendasi bagus nih! Coba deh ke **Ridho Burger, Binjai** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Burger Daging | Harga: 4000.0
- Burger Telur | Harga: 5000.0
- Burger Telur + Daging | Harga: 6000.0
- Burger Telur + Sosis | Harga: 8000.0
- Burger Telur + Daging + Sosis | Harga: 9000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Jajanan/Minuman.,"Halo! 🌟
Kalau kamu mau makan Roti/Jajanan/Minuman, ada rekomendasi bagus nih! Coba deh ke **Robakus Pahlawan** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Roti Bakar Puff Pastry Durian | Harga: 24000.0
- Roti Bakar Puff Pastry Kacang | Harga: 24000.0
- Roti Bakar Puff Pastry Chococruncy | Harga: 24000.0
- Roti Bakar Puff Pastry Tiramisu | Harga: 24000.0
- Roti Bakar Puff Pastry OREO | Harga: 26000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Jajanan/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Jajanan/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Rocket Chicken, Gresik** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Geprek Paha Bawah | Harga: 15000.0
- Geprek Dada / Paha Atas | Harga: 17500.0
- Sayap | Harga: 11250.0
- Paha Bawah | Harga: 12500.0
- Dada | Harga: 14375.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi.,"Halo! 🌟
Kalau kamu mau makan Kopi, ada rekomendasi bagus nih! Coba deh ke **Ruang Sarca** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Sarcas | Harga: 28000.0
- Long Black | Harga: 23000.0
- Cappucino | Harga: 28000.0
- Latte | Harga: 28000.0
- Mocca | Harga: 31000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Kopi/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Kopi/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Rumah Ide Coffee** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Pisang Goreng Biasa | Harga: 15000.0
- Burger Beef Komplit | Harga: 22000.0
- Tempe Mendoan | Harga: 15000.0
- Burger Chicken Komplit | Harga: 22000.0
- Burger Beef | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Pizza & pasta/Barat.,"Halo! 🌟
Kalau kamu mau makan Pizza & pasta/Barat, ada rekomendasi bagus nih! Coba deh ke **Rumah Pasta WiB** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Mock Pepper Cheese Steak | Harga: 38000.0
- Mac n Cheese | Harga: 29000.0
- Spagheti Bolognese | Harga: 22000.0
- Smokey Fettucini | Harga: 30000.0
- Lasagna Roll | Harga: 31000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **SEBLAK BANDUNG 86** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Ceria 1 | Harga: 15000.0
- Seblak Ceria 2 | Harga: 15000.0
- Seblak Ceria 3 | Harga: 15000.0
- Ceria 4 | Harga: 15000.0
- Seblak Mix CHIKUWA | Harga: 23000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Cepat saji/Bakmie.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Cepat saji/Bakmie, ada rekomendasi bagus nih! Coba deh ke **SEBLAK BANDUNG NETIZEN** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Spesial Ceker Empuk | Harga: 28500.0
- Seblak Bandung Bakso | Harga: 24500.0
- SEBLAK BANDUNG SPESIAL SCALLOP | Harga: 24500.0
- Seblak Bandung Cilokkotak Ala S.B.N | Harga: 24000.0
- Seblak Bandung Reguler | Harga: 20500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **SEBLAK GACOR** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Sosis Level 1-3 | Harga: 16500.0
- Seblak Cilok Lv 1-3 | Harga: 13500.0
- Seblak Ceker Lv 1-3 | Harga: 17500.0
- Seblak Sayap Lv 1-3 | Harga: 17500.0
- Seblak Vaforit Lv 1-3 | Harga: 18500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Ayam & bebek/Kopi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Ayam & bebek/Kopi, ada rekomendasi bagus nih! Coba deh ke **SEPASI CAFE, Gayungan** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Combo A | Harga: 35000.0
- Combo B | Harga: 40000.0
- Combo C | Harga: 97000.0
- Matcha Coffee | Harga: 29000.0
- Rose Coffee | Harga: 29000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman.,"Halo! 🌟
Kalau kamu mau makan Minuman, ada rekomendasi bagus nih! Coba deh ke **SIPPIN, MMTC** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Blue Breeze Cloudy, Red Berry Cloudy | Harga: 45000.0
- Classy Crunchy Choco KitKat | Harga: 23000.0
- Choco Cotton Candy KitKat | Harga: 23000.0
- Cheesy Milk Boba KitKat | Harga: 27000.0
- Modcha KitKat | Harga: 27000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Cepat saji, ada rekomendasi bagus nih! Coba deh ke **SIPPIN, Tembung** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Blue Breeze Cloudy, Red Berry Cloudy | Harga: 45000.0
- Classy Crunchy Choco KitKat | Harga: 23000.0
- Choco Cotton Candy KitKat | Harga: 23000.0
- Modcha KitKat | Harga: 27000.0
- Cheesy Milk Boba KitKat | Harga: 27000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Sweets/Kopi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Sweets/Kopi, ada rekomendasi bagus nih! Coba deh ke **SOHA Coffee** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Ice Red Velvet Latte | Harga: 18000.0
- Ice Greentea Latte | Harga: 18000.0
- Ice Taro Latte | Harga: 18000.0
- Cookies N Cream | Harga: 18000.0
- ice Hazelnut Latte | Harga: 20400.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Jepang/Martabak.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Jepang/Martabak, ada rekomendasi bagus nih! Coba deh ke **SUMOYAKI, PADEMANGAN** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- PORSI OKII 15 PCS TAKOYAKI BALL | Harga: 40000.0
- PORSI KURAI 10 PCS TAKOYAKI BALL | Harga: 32000.0
- PORSI TISAI 5 PCS TAKOYAKI BALL | Harga: 16000.0
- COMBO 3 OKII | Harga: 125000.0
- COMBO 3 KURAI | Harga: 101000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Cepat saji/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Cepat saji/Minuman, ada rekomendasi bagus nih! Coba deh ke **SYMAXTY NINE COFFEE** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Cappucino | Harga: 22000.0
- Machiato | Harga: 25000.0
- Coffee Creme Brulle | Harga: 26000.0
- Ice Coffee Symaxty | Harga: 22000.0
- Ice Brown Sugar Coffee | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **SYMAXTY NINE COFFEE** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Cappucino | Harga: 22000.0
- Machiato | Harga: 25000.0
- Coffee Creme Brulle | Harga: 26000.0
- Ice Coffee Symaxty | Harga: 22000.0
- Ice Brown Sugar Coffee | Harga: 20000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sweets.,"Halo! 🌟
Kalau kamu mau makan Sweets, ada rekomendasi bagus nih! Coba deh ke **Salad Buah Tuasan** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Salad Buah Small 300ML | Harga: 28500.0
- Salad Buah Medium 400ML | Harga: 38000.0
- Salad Buah large 650Ml | Harga: 65000.0
- Salad Buah ExtraLarge 1000Ml | Harga: 100000.0
- Tambah Oreo | Harga: 6500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Sang Pisang, Surabaya** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Naget Chocolate | Harga: 30000.0
- Naget Vanilla | Harga: 30000.0
- Naget Strawberry | Harga: 30000.0
- Naget Green Tea | Harga: 30000.0
- Naget Blueberry | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Chinese/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Chinese/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Sari Rasa, Mojosari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng | Harga: 30000.0
- Nasi Goreng Istimewa | Harga: 49000.0
- Nasi Cap Jay | Harga: 49000.0
- Nasi Ayam | Harga: 40000.0
- Mie Goreng | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Sari Roti, Sunggal** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Sekolah 1 | Harga: 32500.0
- Paket Sekolah 2 | Harga: 38500.0
- Paket Sekolah 3 | Harga: 35000.0
- Paket Ngemil | Harga: 27500.0
- Sandwich Coklat | Harga: 5000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sate/Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Sate/Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **Sate Kuda Sumbawa** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Ayam Penyet Cabe Ijo + Nasi + Teh Manis Dingin | Harga: 24000.0
- Ayam Penyet Cabe Ijo + Nasi | Harga: 22000.0
- Bebek Penyet + Nasi | Harga: 30000.0
- Daging Kuda Sumbawa 1 kg | Harga: 300000.0
- Tulang Kuda Sumbawa 1 kg | Harga: 240000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Sate.,"Halo! 🌟
Kalau kamu mau makan Sate, ada rekomendasi bagus nih! Coba deh ke **Sate Rembiga Racaca** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paket Hello 1 | Harga: 30000.0
- Nasi Putih | Harga: 7000.0
- Teh Pucuk | Harga: 7000.0
- Oasis | Harga: 7000.0
- Sate Rembiga Pedas Sedang 15 Tusuk | Harga: 56500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Satria Roti, Kartini** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Choco Bites Dark Chocolate - Hampers | Harga: 100000.0
- Chocolate Truffle - Hampers | Harga: 65000.0
- Lemper | Harga: 7000.0
- Risol Mayo | Harga: 6500.0
- Pastel | Harga: 6500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Satria Roti, Wiyung** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Choco Bites Dark Chocolate - Hampers | Harga: 100000.0
- Chocolate Truffle - Hampers | Harga: 65000.0
- Risol Mayo | Harga: 6500.0
- Tahu Isi | Harga: 6000.0
- Lemper | Harga: 7000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Seafood 2000, Krakatau** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Kepiting | Harga: 70000.0
- Gurame | Harga: 78750.0
- Kakap | Harga: 65000.0
- Gembung | Harga: 32000.0
- Udang | Harga: 38000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Seafood.,"Halo! 🌟
Kalau kamu mau makan Seafood, ada rekomendasi bagus nih! Coba deh ke **Seafood 88, Sunggal** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- PAKET 1 | Harga: 231500.0
- PAKET 3 | Harga: 231500.0
- Ikan Bawal Goreng Per Ekor | Harga: 125000.0
- Ikan Bawal Asam Manis Per Ekor | Harga: 125000.0
- Ikan Bawal Asam Pedas Per Ekor | Harga: 125000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Seafood.,"Halo! 🌟
Kalau kamu mau makan Seafood, ada rekomendasi bagus nih! Coba deh ke **Seafood Narako, Gubeng** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Paket Large Kepiting ( 2 Orang ) | Harga: 108000.0
- Paket Small ( 2 Orang ) | Harga: 55000.0
- Apapun Makanannya... Ketik Salah Satu Saosnya ( GRATIS ) | Harga: 1.0
- Paket Lobster | Harga: 175000.0
- Paket Medium ( 2 Orang ) | Harga: 72000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Seblak Bundaa, Wonoayu** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Mie Kering | Harga: 10000.0
- Seblak Sosis Baso | Harga: 11000.0
- Seblak Cilor | Harga: 12000.0
- Seblak Cilok | Harga: 13000.0
- Seblak Scallop | Harga: 12000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Bakmie/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Bakmie/Minuman, ada rekomendasi bagus nih! Coba deh ke **Seblak Dan Mie Ayam Kopi Santai Gkb, Jl Kalimantan 103 Gkb** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Original (Seblak Suki Tanpa Topping) | Harga: 10000.0
- Indomie Goreng | Harga: 13000.0
- Indomie Kuah | Harga: 13000.0
- Cireng | Harga: 16000.0
- Kentang | Harga: 16000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Bakmie.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Bakmie, ada rekomendasi bagus nih! Coba deh ke **Seblak Dan Mie Ayam Kopi Santai Gkb, Jl Kalimantan 103 Gkb** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Original (Seblak Suki Tanpa Topping) | Harga: 10000.0
- Indomie Goreng | Harga: 13000.0
- Indomie Kuah | Harga: 13000.0
- Cireng | Harga: 16000.0
- Kentang | Harga: 16000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Seblak Gobyos, Jemursari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Biasa | Harga: 14500.0
- Seblak Sosis | Harga: 17000.0
- Seblak Ceker | Harga: 16000.0
- Seblak Ceksos | Harga: 18500.0
- Seblak Batagor Asli Bandung | Harga: 18500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Seblak Gobyos, Sedati** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Sayap | Harga: 25000.0
- Seblak Komplit | Harga: 23000.0
- Seblak Batagor Asli Bandung | Harga: 18500.0
- Seblak Ceksos | Harga: 18500.0
- Seblak Sosis | Harga: 16000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan.,"Halo! 🌟
Kalau kamu mau makan Jajanan, ada rekomendasi bagus nih! Coba deh ke **Seblak Nova, Cimanggis** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Seblak Instan | Harga: 12500.0
- Paket Grosir | Harga: 100000.0
- Es Jeruk Peras | Harga: 7500.0
- Jeruk Peras Hangat | Harga: 7500.0
- Seblak Original | Harga: 12500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Seblak Radja Sukodono** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Seblak Suki Seafood Special | Harga: 22000.0
- Seblak Special Radja | Harga: 25000.0
- Seblak Yakisoba Special | Harga: 20000.0
- Seblak Krupuk Campur | Harga: 15000.0
- Seblak Pentol Special | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Minuman/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Minuman/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Seblak, Cibinong** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- SEBLAK BAKSO + SOSIS | Harga: 15000.0
- SEBLAK CEKER | Harga: 19000.0
- SEBLAK MIE | Harga: 19000.0
- SEBLAK KOMPLIT | Harga: 22000.0
- SEBLAK TULANGAN | Harga: 21000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Thailand/Kopi/Minuman.,"Halo! 🌟
Kalau kamu mau makan Thailand/Kopi/Minuman, ada rekomendasi bagus nih! Coba deh ke **Seger, Tembung** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Tropical Appleberries | Harga: 25000.0
- Tropical Orangeberries | Harga: 25000.0
- Oboost ( Orange Boost) | Harga: 13500.0
- Gosu (Manggo Susu) | Harga: 13500.0
- Mangberry (Semangka Strawberry) | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Kopi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Kopi, ada rekomendasi bagus nih! Coba deh ke **Segi Coffee** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Honey Americano | Harga: 30000.0
- Elixir | Harga: 30000.0
- Orange Blue Sea | Harga: 35000.0
- Black Mandarin | Harga: 34000.0
- Cappuccino (Cold) | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Minuman/Roti.,"Halo! 🌟
Kalau kamu mau makan Kopi/Minuman/Roti, ada rekomendasi bagus nih! Coba deh ke **Segilima Cafe** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Es Kopi Susu | Harga: 17000.0
- Es Kopi Hitam | Harga: 13000.0
- Vanila Latte | Harga: 18000.0
- Hazelnut Latte | Harga: 18000.0
- Dolce Latte | Harga: 16000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Aneka nasi/Bakmie.,"Halo! 🌟
Kalau kamu mau makan Kopi/Aneka nasi/Bakmie, ada rekomendasi bagus nih! Coba deh ke **Sei dalam Bambu** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Paket Samurai Sei Sapi | Harga: 72500.0
- Paket Samurai Sei Ayam | Harga: 63000.0
- Paket Samurai Mix | Harga: 67750.0
- Paket Sei Sapi Bambu Berdua | Harga: 140000.0
- Sei Sapi Ala Carte | Harga: 38250.0

Nyam nyam! Pasti enak deh! 😋"
